Zone ID,Zone Name,Ad Requests,Revenue,eCPM,Profit,Revenue to Publisher
1563812,"super-puppys_flexiblesticky_responsive",14724979,11677.24,0.57,2464.17,9213.07
1597085,"sweetastes_flexiblesticky_responsive",22284636,11651.43,0.51,3004.06,8647.37
1576115,"paintbucke_mixed_wipead_flexiblesticky_responsive",5779753,4257.18,0.81,851.44,3405.74
1595787,"alternatech.net_Videosticky_Wipead",883326,3355.56,3.07,503.33,2852.22
1589956,"levanews.com_Video_Wipead",1464852,1273.86,1.31,191.08,1082.78
1581682,"welove-gourmet_flexiblesticky_responsive",1031586,913.00,0.41,198.70,714.30
1574823,"pet-welove_sticky_wipead_responsive",20764560,861.52,0.10,198.15,663.37
1540243,"bring-you.info_overlay_responsive",1903748,854.26,0.47,247.34,606.92
1542882,"superhaoyun01_320x50_overlay",4467989,621.89,0.14,173.93,447.97
1538082,"padpadblog.com_wipead_PC & Mobile",569817,601.84,1.08,138.12,463.72
1589956,"levanews.com_flexiblesticky",320324,484.69,2.64,72.70,411.99
1581682,"welove-gourmet_sticky_wipead_responsive",2961015,435.80,0.22,97.12,338.68
1573617,"redawine_sticky_wipead_responsive",836368,385.81,0.66,88.74,297.07
1596162,"izarcade.com_flexiblesticky",401630,312.65,0.69,31.27,281.39
1563812,"super-puppys_sticky_wipead_responsive",1945789,288.68,0.34,57.74,230.95
1573617,"redawine_flexiblesticky_responsive",488411,225.31,0.74,51.82,173.49
1588924,"pic.in.th_Wipead (responsive)",343218,146.13,0.41,29.23,116.90
1597122,"play.gameboulevard.click_flexiblesticky",343334,94.53,0.25,18.91,75.63
1597108,"fun.gameboulevard.click_flexiblesticky",290029,69.14,0.21,13.83,55.31
1596109,"khaosod.co.th_flexiblesticky_PC",114251,58.58,0.36,11.72,46.87
1564344,"agristok.net_ wipead (responsive)",89214,36.93,0.42,8.49,28.44
1567304,"iiceredteas_flexiblesticky_responsive",71372,11.54,0.18,2.65,8.88
1567304,"iiceredteas_sticky_wipead_responsive",82521,7.12,0.15,1.64,5.48
1597309,"hancinema.net_Flexiblesticky",19314,6.88,0.32,1.38,5.50
1596129,"vn-z.vn_flexiblesticky",15007,2.87,0.18,0.57,2.29
1597447,"h5gamesplays.com_flexible sticky",481,0.17,0.36,0.03,0.15
